footlength,Heightin,Weightlbs,balloffootcircumference,EUR Size
265,73,255,282,40.706605222734254
266,70,187,250,40.86021505376344
284,71,205,260,43.625192012288785
254,69,175,241,39.01689708141321
251,67,121,235,38.556067588325654
257,67,118,231,39.47772657450077
258,66,200,266,39.63133640552996
275,68,189,254,42.242703533026116
288,70,230,285,44.23963133640553
263,68,150,244,40.39938556067588
267,69,162,242,41.013824884792626
284,72,200,275,43.625192012288785
276,72,200,263,42.3963133640553
266,66,158,238,40.86021505376344
273,70,245,272,41.935483870967744
274,71,230,237,42.08909370199693
257,66,140,241,39.47772657450077
298,73,215,266,45.77572964669739
276,75,226,270,42.3963133640553
274,72,190,246,42.08909370199693
294,75,255,276,45.16129032258065
271,69,205,243,41.62826420890937
266,70,145,251,40.86021505376344
248,65,157,225,38.095238095238095
259,70,223,244,39.78494623655914
263,63,175,247,40.39938556067588
272,70,245,263,41.78187403993856
251,69,185,244,38.556067588325654
255,68,191,227,39.1705069124424
297,77,180,247,45.622119815668206
277,70,174,264,42.54992319508449
277,73,238,263,42.54992319508449
288,72,215,251,44.23963133640553
253,66,172,250,38.863287250384026
264,68,220,248,40.55299539170507
268,70,140,230,41.16743471582181
263,66,145,231,40.39938556067588
272,66,200,248,41.78187403993856
252,65,180,241,38.70967741935484
295,75,192,255,45.314900153609834
266,66,185,248,40.86021505376344
263,71,155,226,40.39938556067588
266,69,185,258,40.86021505376344
294,74,206,262,45.16129032258065
270,69,212,280,41.474654377880185
270,71,190,251,41.474654377880185
268,69,235,250,41.16743471582181
244,67,163,230,37.48079877112135
277,68,160,237,42.54992319508449
284,71,192,264,43.625192012288785
249,64,103,227,38.24884792626728
250,66,175,238,38.40245775729647
283,72,218,264,43.4715821812596
273,72,250,260,41.935483870967744
276,71,181,257,42.3963133640553
293,71,248,259,45.00768049155146
306,78,201,266,47.004608294930875
284,71,209,250,43.625192012288785
281,71,189,240,43.164362519201234
267,69,188,246,41.013824884792626
288,74,208,263,44.23963133640553
267,71,203,283,41.013824884792626
251,65,164,226,38.556067588325654
258,68,187,258,39.63133640552996
243,67,163,247,37.327188940092164
294,71,185,272,45.16129032258065
277,69,215,266,42.54992319508449
273,72,165,246,41.935483870967744
265,71,145,236,40.706605222734254
273,69,150,252,41.935483870967744
262,69,163,245,40.2457757296467
264,71,149,220,40.55299539170507
251,66,178,240,38.556067588325654
279,74,190,260,42.85714285714286
285,72,175,251,43.77880184331797
255,68,179,245,39.1705069124424
264,69,169,248,40.55299539170507
283,67,188,254,43.4715821812596
266,73,200,282,40.86021505376344
280,78,182,246,43.01075268817205
271,69,187,247,41.62826420890937
293,76,255,275,45.00768049155146
250,66,186,245,38.40245775729647
269,70,210,261,41.321044546851
288,74,230,270,44.23963133640553
279,70,191,250,42.85714285714286
263,66,167,234,40.39938556067588
253,66,180,243,38.863287250384026
275,72,215,270,42.242703533026116
279,75,165,246,42.85714285714286
292,73,177,253,44.854070660522275
266,68,160,245,40.86021505376344
269,70,160,250,41.321044546851
268,67,165,255,41.16743471582181
264,70,189,273,40.55299539170507
254,66,154,236,39.01689708141321
281,70,180,259,43.164362519201234
289,77,219,251,44.39324116743472
268,71,193,253,41.16743471582181
257,64,160,258,39.47772657450077
269,73,162,258,41.321044546851
275,72,159,247,42.242703533026116
275,72,283,260,42.242703533026116
285,73,210,275,43.77880184331797
261,66,225,266,40.092165898617516
277,69,180,270,42.54992319508449
258,68,183,255,39.63133640552996
274,69,188,246,42.08909370199693
268,71,168,224,41.16743471582181
264,68,161,241,40.55299539170507
272,70,160,261,41.78187403993856
298,67,190,267,45.77572964669739
244,63,120,233,37.48079877112135
251,68,165,228,38.556067588325654
271,73,207,262,41.62826420890937
261,65,205,247,40.092165898617516
272,68,203,249,41.78187403993856
276,66,215,278,42.3963133640553
257,66,150,250,39.47772657450077
295,74,215,271,45.314900153609834
291,75,240,254,44.70046082949309
275,66,200,273,42.242703533026116
268,72,170,251,41.16743471582181
281,75,275,270,43.164362519201234
280,71,195,253,43.01075268817205
289,74,153,242,44.39324116743472
252,69,163,243,38.70967741935484
270,67,175,260,41.474654377880185
256,69,157,239,39.324116743471585
283,73,220,274,43.4715821812596
290,70,185,261,44.5468509984639
298,74,260,254,45.77572964669739
264,69,185,252,40.55299539170507
253,68,155,244,38.863287250384026
279,71,165,260,42.85714285714286
274,71,239,250,42.08909370199693
291,75,225,266,44.70046082949309
259,66,145,243,39.78494623655914
269,66,206,272,41.321044546851
