footlength,Heightin,Weightlbs,balloffootcircumference,EUR Size
233,62,148,228,35.79109062980031
241,63,180,228,37.0199692780338
251,66,168,233,38.556067588325654
248,64,128,236,38.095238095238095
239,66,120,230,36.712749615975426
239,64,160,229,36.712749615975426
229,59,86,203,35.17665130568356
264,68,187,233,40.55299539170507
249,68,146,249,38.24884792626728
222,59,138,223,34.10138248847927
232,62,132,218,35.63748079877112
252,69,155,244,38.70967741935484
256,66,164,247,39.324116743471585
244,65,126,225,37.48079877112135
244,64,125,218,37.48079877112135
248,64,140,239,38.095238095238095
253,62,168,237,38.863287250384026
260,66,155,237,39.93855606758833
238,62,123,222,36.55913978494624
265,68,168,231,40.706605222734254
224,62,160,240,34.40860215053763
246,63,150,231,37.78801843317972
258,71,200,254,39.63133640552996
242,63,145,237,37.173579109062985
227,64,125,213,34.86943164362519
242,62,124,233,37.173579109062985
234,62,143,220,35.944700460829495
233,59,145,210,35.79109062980031
253,66,168,221,38.863287250384026
240,64,145,217,36.86635944700461
260,66,150,238,39.93855606758833
255,62,140,229,39.1705069124424
243,64,128,226,37.327188940092164
235,61,162,215,36.09831029185868
242,66,129,228,37.173579109062985
239,63,165,226,36.712749615975426
265,67,158,240,40.706605222734254
243,66,180,223,37.327188940092164
268,69,170,242,41.16743471582181
259,68,183,242,39.78494623655914
269,72,178,231,41.321044546851
248,66,162,221,38.095238095238095
236,63,135,220,36.25192012288787
238,64,145,225,36.55913978494624
245,65,150,221,37.634408602150536
235,62,110,223,36.09831029185868
265,65,142,230,40.706605222734254
246,65,140,227,37.78801843317972
252,64,138,222,38.70967741935484
247,64,180,235,37.94162826420891
254,69,137,220,39.01689708141321
238,63,145,228,36.55913978494624
226,63,135,221,34.715821812596005
233,62,156,234,35.79109062980031
238,63,150,220,36.55913978494624
235,64,164,235,36.09831029185868
227,64,124,207,34.86943164362519
249,65,152,233,38.24884792626728
248,68,218,239,38.095238095238095
244,66,110,234,37.48079877112135
253,66,176,233,38.863287250384026
241,64,153,223,37.0199692780338
237,60,135,216,36.40552995391705
238,67,152,236,36.55913978494624
253,66,170,260,38.863287250384026
236,65,170,228,36.25192012288787
257,70,180,243,39.47772657450077
230,63,105,204,35.33026113671275
234,62,131,213,35.944700460829495
269,71,160,239,41.321044546851
268,68,173,254,41.16743471582181
249,66,145,231,38.24884792626728
242,64,155,231,37.173579109062985
246,66,133,243,37.78801843317972
253,65,135,228,38.863287250384026
245,66,165,241,37.634408602150536
254,70,147,239,39.01689708141321
260,67,175,244,39.93855606758833
